LATITUDE,LONGITUD,ST_CASE,VE_TOTAL,DAY,MONTH,FATALS
43.0019,-75.9766,360145,1,25,3,1
40.7766,-73.7136,360146,1,26,3,1
40.7126,-73.8993,360147,2,3,2,1
42.6930,-73.8308,360148,1,26,3,1
40.8131,-73.9503,360149,2,2,4,1
43.0307,-77.3419,360150,1,3,4,1
42.9687,-73.8225,360151,3,3,4,1
40.7166,-73.7997,360152,1,5,4,2
43.0506,-77.1916,360153,1,5,4,1
40.8254,-73.9234,360154,1,5,4,1
40.6498,-73.8885,360155,1,25,3,1
43.1444,-78.8175,360156,2,8,4,1
40.7837,-73.7044,360157,3,9,4,1
40.7509,-73.7489,360158,2,9,4,1
42.7496,-77.9908,360159,2,5,3,1
42.6558,-73.7837,360160,2,3,4,1
40.6742,-73.3966,360161,1,1,1,1
40.8742,-73.9102,360162,1,23,2,1
40.8444,-73.9028,360163,1,26,2,1
99.9999,999.9999,360164,2,29,3,1
42.7169,-73.6921,360165,1,17,1,1
40.7565,-73.9472,360166,1,17,1,1
40.5993,-73.7621,360167,1,31,1,1
40.6279,-74.0399,360168,1,27,2,1
42.2003,-74.8195,360169,1,6,4,1
99.9999,999.9999,360170,1,20,2,1
42.6441,-73.6983,360171,2,11,4,1
40.6716,-73.6107,360172,1,12,4,1
42.5530,-78.7215,360173,1,13,4,1
43.1868,-77.6136,360174,1,15,4,1
40.6772,-73.9302,360175,2,12,4,1
40.6413,-73.9890,360176,1,5,1,1
40.6806,-73.9533,360177,1,18,4,1
40.9058,-73.9043,360178,1,2,4,1
99.9999,999.9999,360179,2,14,4,1
40.8043,-73.2871,360180,1,9,3,1
99.9999,999.9999,360181,1,14,3,1
40.8814,-73.8487,360182,2,18,4,1
40.9218,-73.0171,360183,1,15,3,1
40.8385,-73.1118,360184,1,17,3,1
40.8118,-73.0838,360185,1,21,3,2
40.8729,-73.1237,360186,1,23,3,1
40.7956,-73.2973,360187,4,30,3,1
40.7715,-73.6257,360188,2,6,3,2
40.8604,-73.2150,360189,2,13,3,1
42.4682,-78.4818,360190,2,28,3,1
44.3613,-75.0835,360191,1,18,4,1
40.7137,-74.0088,360192,2,19,4,1
40.7680,-73.7024,360193,1,20,4,1
41.4733,-74.2101,360194,2,18,4,1
42.2189,-74.9266,360195,1,21,4,1
40.6802,-73.8444,360196,1,20,4,1
99.9999,999.9999,360197,1,21,4,1
42.5105,-76.1969,360198,1,24,4,1
41.7325,-73.8373,360199,1,3,4,1
43.0319,-76.2737,360200,2,8,4,1
40.6792,-73.4182,360201,1,21,4,1
40.7676,-73.6256,360202,2,24,4,1
43.1020,-73.5237,360203,2,19,2,1
42.2776,-77.0886,360204,1,25,4,1
40.6863,-73.7842,360205,1,25,4,1
40.5762,-74.1003,360206,1,26,4,1
42.1840,-76.0519,360207,1,25,4,1
40.6993,-73.9533,360208,4,26,4,1
40.7421,-73.8026,360209,1,28,4,2
40.9154,-72.8912,360210,1,30,4,2
40.6432,-73.8760,360211,6,30,4,1
41.9690,-73.5419,360212,1,29,4,1
43.1251,-76.1389,360213,1,2,4,1
40.9930,-73.8379,360214,2,27,2,1
43.6422,-76.1021,360215,1,2,5,1
43.5496,-75.5161,360216,1,2,5,1
43.2038,-77.6569,360217,2,1,5,1
99.9999,999.9999,360218,2,2,5,1
40.8413,-73.8258,360219,1,3,5,1
42.9372,-74.1778,360220,2,3,5,1
40.7817,-73.5592,360221,1,13,4,1
40.6537,-73.5690,360222,1,3,5,1
40.6759,-73.4746,360223,2,5,5,1
40.6423,-73.8991,360224,2,4,5,1
41.4688,-73.6405,360225,1,5,5,1
42.9630,-76.7338,360226,1,6,5,1
40.9802,-72.1507,360227,1,14,3,1
42.9691,-77.5026,360228,1,2,5,1
43.0436,-77.4650,360229,3,29,4,1
42.8215,-74.0705,360230,2,15,4,1
40.8246,-73.9369,360231,1,6,5,1
42.5105,-77.5167,360232,2,8,5,1
40.6605,-73.9980,360233,1,10,5,1
40.6878,-73.8253,360234,1,11,5,1
43.6988,-75.3671,360235,1,6,5,1
43.1645,-78.6873,360236,1,11,5,1
43.1404,-77.5414,360237,1,9,5,1
99.9999,999.9999,360238,1,11,5,1
42.1312,-75.9058,360239,1,13,5,1
40.8472,-73.9126,360240,2,12,5,1
