LATITUDE,LONGITUD,ST_CASE,VE_TOTAL,DAY,MONTH,FATALS
40.0203,-74.9448,340147,3,13,5,1
39.9506,-74.7907,340148,1,16,5,1
40.8460,-74.3498,340149,1,23,6,1
40.5400,-74.5101,340150,1,30,5,1
39.9693,-75.0624,340151,2,30,5,1
40.8717,-74.1166,340152,1,17,5,1
40.3299,-74.4825,340153,2,23,5,2
40.9763,-74.2700,340154,2,10,6,1
39.3421,-75.0357,340155,2,24,5,3
39.4659,-75.0584,340156,1,27,5,1
40.0959,-74.7503,340157,1,23,5,1
40.2807,-74.0885,340158,1,28,5,1
40.1794,-74.5522,340159,1,30,5,1
39.9299,-74.8746,340160,1,13,6,1
40.3007,-74.5126,340161,1,29,5,1
39.8984,-74.8763,340162,2,29,5,1
40.2249,-74.1823,340163,2,3,6,1
40.3745,-74.3010,340164,1,31,5,1
40.8411,-74.1619,340165,1,31,5,2
40.0638,-74.1595,340166,2,31,5,1
39.6165,-74.3780,340167,1,25,6,1
40.9191,-74.0657,340168,1,17,6,1
40.2463,-74.0546,340169,1,25,6,1
40.1990,-74.1083,340170,2,25,3,1
40.3401,-74.0639,340171,1,23,6,1
40.1585,-74.7005,340172,2,4,6,1
40.8266,-74.0301,340173,2,19,6,1
39.7629,-74.9099,340174,6,29,6,1
39.9413,-75.0725,340175,1,21,6,1
40.7062,-74.0789,340176,2,28,6,1
99.9999,999.9999,340177,2,25,6,1
39.4845,-74.9926,340178,1,26,6,1
41.1178,-74.5806,340179,3,7,6,1
40.4354,-74.3014,340180,1,15,6,1
40.6167,-74.2214,340181,5,24,6,1
39.8715,-74.7335,340182,1,14,6,1
40.8838,-74.0868,340183,1,18,6,1
40.8143,-74.1087,340184,2,8,6,1
39.4105,-75.1284,340185,2,11,6,1
40.5262,-74.3430,340186,2,16,6,1
40.6670,-74.2337,340187,1,4,6,1
40.8339,-74.3446,340188,2,10,6,1
39.5864,-75.0852,340189,5,11,6,1
40.7698,-74.4507,340190,2,11,6,1
40.7575,-74.4129,340191,1,20,6,1
39.9346,-74.9660,340192,1,17,5,1
40.6223,-74.2741,340193,1,15,6,1
41.1114,-74.1638,340194,1,10,6,1
40.0851,-74.7591,340195,1,23,6,1
39.4861,-75.1168,340196,1,21,5,1
39.2194,-74.7055,340197,3,5,6,1
40.7327,-74.1507,340198,1,23,5,1
39.7210,-75.1533,340199,2,30,6,1
40.1889,-74.4697,340200,1,15,6,1
40.0767,-74.4739,340201,2,30,6,1
40.1888,-74.4703,340202,1,8,6,1
40.8914,-74.4780,340203,1,21,6,1
39.4875,-75.0543,340204,1,24,2,1
40.2331,-74.7077,340205,1,9,3,1
40.8485,-74.4702,340206,1,3,6,1
39.6806,-75.4742,340207,2,30,7,1
39.9417,-75.1231,340208,2,12,7,1
39.9466,-75.0907,340209,1,15,5,1
39.2130,-74.8736,340210,1,30,7,1
39.0132,-74.8737,340211,1,11,3,1
41.2006,-74.6260,340212,2,7,3,1
40.0656,-74.8736,340213,1,26,8,1
40.8909,-74.1277,340214,1,7,7,1
39.8259,-75.2276,340215,1,21,7,1
40.6140,-74.4967,340217,1,7,2,1
40.9260,-74.1766,340218,1,16,6,1
40.8566,-73.9708,340219,1,15,5,1
40.2490,-74.2465,340220,1,6,6,1
39.0229,-74.8015,340221,3,21,2,1
40.9548,-74.0804,340222,1,8,3,1
40.6191,-74.7569,340223,1,29,5,1
40.9093,-74.5031,340224,4,26,3,1
40.7422,-74.0294,340225,1,26,6,1
39.2687,-75.0618,340226,1,22,8,1
40.7619,-74.8172,340227,2,18,4,1
40.2939,-74.8109,340228,1,9,8,1
39.5216,-75.3367,340229,1,15,6,1
40.7947,-74.0118,340230,1,14,7,1
40.3645,-74.9383,340231,1,22,8,1
40.0894,-74.4895,340232,2,19,7,1
40.4194,-74.4109,340233,3,25,7,1
99.9999,999.9999,340234,2,7,7,1
40.7519,-74.2979,340235,1,10,7,1
40.8861,-74.1508,340236,2,19,8,1
40.835,-74.2472,340238,2,5,2,1
39.8925,-75.0698,340239,1,9,4,1
40.2093,-74.0835,340240,1,8,7,1
40.7902,-74.1736,340241,1,10,3,1
40.8764,-74.0868,340242,2,10,7,1
40.8706,-74.1877,340243,1,31,7,2
40.3415,-74.4777,340244,19,9,2,1
39.9963,-74.2794,340245,1,27,4,1
39.7397,-74.3014,340246,2,16,5,1
39.2238,-74.7046,340247,2,12,7,1
39.3236,-74.8604,340248,2,11,7,2
40.8353,-74.1502,340249,1,1,7,1
40.9471,-73.9693,340250,1,17,6,1
40.9271,-74.2087,340251,1,6,8,1
40.4078,-74.3372,340252,2,6,9,1
